_id,No.,Date,Organization,Number_Passenger,Note
448,448,3/12/2022,BTS Gold Line,"6,493",
449,449,4/12/2022,SRT,"63,437",
450,450,4/12/2022,ARL,"42,782",
451,451,4/12/2022,Red Line,"11,602",
452,452,4/12/2022,MRT Blue Line,"216,524",
453,453,4/12/2022,MRT Purple Line,"22,752",
454,454,4/12/2022,BTS Green Line,"522,900",
455,455,4/12/2022,BTS Gold Line,"6,232",
456,456,5/12/2022,SRT,"73,015",
457,457,5/12/2022,ARL,"39,897",
458,458,5/12/2022,Red Line,"10,867",
459,459,5/12/2022,MRT Blue Line,"172,626",
460,460,5/12/2022,MRT Purple Line,"21,622",
461,461,5/12/2022,BTS Green Line,"441,976",
462,462,5/12/2022,BTS Gold Line,"5,712",
463,463,6/12/2022,SRT,"63,480",
464,464,6/12/2022,ARL,"64,166",
465,465,6/12/2022,Red Line,"20,052",
466,466,6/12/2022,MRT Blue Line,"371,145",
467,467,6/12/2022,MRT Purple Line,"46,374",
468,468,6/12/2022,BTS Green Line,"768,193",
469,469,6/12/2022,BTS Gold Line,"4,417",
470,470,7/12/2022,SRT,"57,506",
471,471,7/12/2022,ARL,"62,287",
472,472,7/12/2022,Red Line,"19,896",
473,473,7/12/2022,MRT Blue Line,"377,590",
474,474,7/12/2022,MRT Purple Line,"46,934",
475,475,7/12/2022,BTS Green Line,"770,924",
476,476,7/12/2022,BTS Gold Line,"4,680",
477,477,8/12/2022,SRT,"58,818",
478,478,8/12/2022,ARL,"63,954",
479,479,8/12/2022,Red Line,"19,636",
480,480,8/12/2022,MRT Blue Line,"377,518",
481,481,8/12/2022,MRT Purple Line,"48,513",
482,482,8/12/2022,BTS Green Line,"787,342",
483,483,8/12/2022,BTS Gold Line,"4,833",
484,484,9/12/2022,SRT,"75,728",
485,485,9/12/2022,ARL,"67,879",
486,486,9/12/2022,Red Line,"21,929",
487,487,9/12/2022,MRT Blue Line,"405,904",
488,488,9/12/2022,MRT Purple Line,"48,727",
489,489,9/12/2022,BTS Green Line,"848,835",
490,490,9/12/2022,BTS Gold Line,"7,048",
491,491,10/12/2022,SRT,"67,342",
492,492,10/12/2022,ARL,"59,493",
493,493,10/12/2022,Red Line,"14,828",
494,494,10/12/2022,MRT Blue Line,"289,067",
495,495,10/12/2022,MRT Purple Line,"30,902",
496,496,10/12/2022,BTS Green Line,"606,136",
497,497,10/12/2022,BTS Gold Line,"7,536",
498,498,11/12/2022,SRT,"61,195",
499,499,11/12/2022,ARL,"53,809",
500,500,11/12/2022,Red Line,"14,187",
501,501,11/12/2022,MRT Blue Line,"228,640",
502,502,11/12/2022,MRT Purple Line,"24,440",
503,503,11/12/2022,BTS Green Line,"541,484",
504,504,11/12/2022,BTS Gold Line,"6,727",
505,505,12/12/2022,SRT,"65,304",
506,506,12/12/2022,ARL,"46,273",
