_id,No.,Date,Organization,Number_Passenger,Note
582,582,23/12/2022,SRT,"66,544",
583,583,23/12/2022,ARL,"64,552",
584,584,23/12/2022,Red Line,"21,122",
585,585,23/12/2022,MRT Blue Line,"382,964",
586,586,23/12/2022,MRT Purple Line,"47,141",
587,587,23/12/2022,BTS Green Line,"864,219",
588,588,23/12/2022,BTS Gold Line,"8,803",
589,589,24/12/2022,SRT,"60,695",
590,590,24/12/2022,ARL,"52,065",
591,591,24/12/2022,Red Line,"12,963",
592,592,24/12/2022,MRT Blue Line,"263,517",
593,593,24/12/2022,MRT Purple Line,"29,975",
594,594,24/12/2022,BTS Green Line,"655,256",
595,595,24/12/2022,BTS Gold Line,"10,488",
596,596,25/12/2022,SRT,"68,524",
597,597,25/12/2022,ARL,"51,002",
598,598,25/12/2022,Red Line,"11,419",
599,599,25/12/2022,MRT Blue Line,"211,536",
600,600,25/12/2022,MRT Purple Line,"23,684",
601,601,25/12/2022,BTS Green Line,"637,174",
602,602,25/12/2022,BTS Gold Line,"11,654",
603,603,26/12/2022,SRT,"67,948",
604,604,26/12/2022,ARL,"56,738",
605,605,26/12/2022,Red Line,"17,302",
606,606,26/12/2022,MRT Blue Line,"336,337",
607,607,26/12/2022,MRT Purple Line,"43,477",
608,608,26/12/2022,BTS Green Line,"714,710",
609,609,26/12/2022,BTS Gold Line,"7,238",
610,610,27/12/2022,SRT,"68,198",
611,611,27/12/2022,ARL,"55,720",
612,612,27/12/2022,Red Line,"17,643",
613,613,27/12/2022,MRT Blue Line,"311,108",
614,614,27/12/2022,MRT Purple Line,"40,640",
615,615,27/12/2022,BTS Green Line,"716,808",
616,616,27/12/2022,BTS Gold Line,"6,798",
617,617,28/12/2022,SRT,"73,014",
618,618,28/12/2022,ARL,"53,587",
619,619,28/12/2022,Red Line,"16,652",
620,620,28/12/2022,MRT Blue Line,"319,134",
621,621,28/12/2022,MRT Purple Line,"39,810",
622,622,28/12/2022,BTS Green Line,"697,154",
623,623,28/12/2022,BTS Gold Line,"7,039",
624,624,29/12/2022,SRT,"89,866",
625,625,29/12/2022,ARL,"52,279",
626,626,29/12/2022,Red Line,"16,385",
627,627,29/12/2022,MRT Blue Line,"299,885",
628,628,29/12/2022,MRT Purple Line,"35,994",
629,629,29/12/2022,BTS Green Line,"666,465",
630,630,29/12/2022,BTS Gold Line,"7,570",
631,631,30/12/2022,SRT,"85,608",
632,632,30/12/2022,ARL,"48,046",
633,633,30/12/2022,Red Line,"12,298",
634,634,30/12/2022,MRT Blue Line,"262,690",
635,635,30/12/2022,MRT Purple Line,"26,348",
636,636,30/12/2022,BTS Green Line,"587,152",
637,637,30/12/2022,BTS Gold Line,"11,050",
638,638,31/12/2022,SRT,"71,427",
639,639,31/12/2022,ARL,"48,304",
640,640,31/12/2022,Red Line,"13,597",
641,641,31/12/2022,MRT Blue Line,"245,371",
642,642,31/12/2022,MRT Purple Line,"23,566",
643,643,31/12/2022,BTS Green Line,"710,832",
644,644,31/12/2022,BTS Gold Line,"38,351",
645,645,1/1/2023,SRT,"73,743",
646,646,1/1/2023,ARL,"36,872",
647,647,1/1/2023,Red Line,"11,938",
648,648,1/1/2023,MRT Blue Line,"215,056",
649,649,1/1/2023,MRT Purple Line,"19,103",
650,650,1/1/2023,BTS Green Line,"455,594",
651,651,1/1/2023,BTS Gold Line,"12,339",
652,652,2/1/2023,SRT,"94,868",
653,653,2/1/2023,ARL,"37,381",
654,654,2/1/2023,Red Line,"11,465",
655,655,2/1/2023,MRT Blue Line,"181,551",
656,656,2/1/2023,MRT Purple Line,"19,002",
657,657,2/1/2023,BTS Green Line,"416,065",
658,658,2/1/2023,BTS Gold Line,"7,177",
659,659,3/1/2023,SRT,"80,223",
660,660,3/1/2023,ARL,"52,188",
661,661,3/1/2023,Red Line,"17,209",
662,662,3/1/2023,MRT Blue Line,"292,528",
663,663,3/1/2023,MRT Purple Line,"38,616",
664,664,3/1/2023,BTS Green Line,"639,175",
665,665,3/1/2023,BTS Gold Line,"4,510",
666,666,4/1/2023,SRT,"71,833",
667,667,4/1/2023,ARL,"59,374",
668,668,4/1/2023,Red Line,"19,072",
669,669,4/1/2023,MRT Blue Line,"344,269",
670,670,4/1/2023,MRT Purple Line,"43,858",
671,671,4/1/2023,BTS Green Line,"711,204",
672,672,4/1/2023,BTS Gold Line,"4,318",
673,673,5/1/2023,SRT,"67,995",
674,674,5/1/2023,ARL,"61,317",
675,675,5/1/2023,Red Line,"18,834",
676,676,5/1/2023,MRT Blue Line,"343,930",
677,677,5/1/2023,MRT Purple Line,"43,670",
678,678,5/1/2023,BTS Green Line,"732,993",
679,679,5/1/2023,BTS Gold Line,"4,742",
680,680,6/1/2023,SRT,"73,150",
681,681,6/1/2023,ARL,"60,924",
682,682,6/1/2023,Red Line,"21,114",
683,683,6/1/2023,MRT Blue Line,"365,079",
684,684,6/1/2023,MRT Purple Line,"46,811",
685,685,6/1/2023,BTS Green Line,"785,441",
686,686,6/1/2023,BTS Gold Line,"5,854",
687,687,7/1/2023,SRT,"63,223",
688,688,7/1/2023,ARL,"63,009",
689,689,7/1/2023,Red Line,"14,566",
690,690,7/1/2023,MRT Blue Line,"252,029",
691,691,7/1/2023,MRT Purple Line,"28,726",
692,692,7/1/2023,BTS Green Line,"615,582",
693,693,7/1/2023,BTS Gold Line,"6,114",
694,694,8/1/2023,SRT,"67,704",
695,695,8/1/2023,ARL,"47,510",
696,696,8/1/2023,Red Line,"13,212",
697,697,8/1/2023,MRT Blue Line,"205,523",
698,698,8/1/2023,MRT Purple Line,"24,319",
699,699,8/1/2023,BTS Green Line,"527,576",
700,700,8/1/2023,BTS Gold Line,"5,251",
701,701,9/1/2023,SRT,"64,329",
702,702,9/1/2023,ARL,"68,034",
703,703,9/1/2023,Red Line,"21,384",
704,704,9/1/2023,MRT Blue Line,"360,389",
705,705,9/1/2023,MRT Purple Line,"47,542",
706,706,9/1/2023,BTS Green Line,"764,318",
707,707,9/1/2023,BTS Gold Line,"4,786",
708,708,10/1/2023,SRT,"61,578",
709,709,10/1/2023,ARL,"66,094",
710,710,10/1/2023,Red Line,"20,873",
711,711,10/1/2023,MRT Blue Line,"403,825",
712,712,10/1/2023,MRT Purple Line,"48,204",
713,713,10/1/2023,BTS Green Line,"788,809",
714,714,10/1/2023,BTS Gold Line,"4,512",
715,715,11/1/2023,SRT,"59,438",
716,716,11/1/2023,ARL,"64,810",
717,717,11/1/2023,Red Line,"20,058",
718,718,11/1/2023,MRT Blue Line,"413,118",
719,719,11/1/2023,MRT Purple Line,"47,521",
720,720,11/1/2023,BTS Green Line,"788,506",
721,721,11/1/2023,BTS Gold Line,"5,060",
722,722,12/1/2023,SRT,"59,170",
723,723,12/1/2023,ARL,"66,086",
724,724,12/1/2023,Red Line,"20,010",
725,725,12/1/2023,MRT Blue Line,"401,601",
726,726,12/1/2023,MRT Purple Line,"47,622",
727,727,12/1/2023,BTS Green Line,"770,195",
728,728,12/1/2023,BTS Gold Line,"4,548",
729,729,13/1/2023,SRT,"71,987",
730,730,13/1/2023,ARL,"66,733",
731,731,13/1/2023,Red Line,"21,852",
732,732,13/1/2023,MRT Blue Line,"404,945",
733,733,13/1/2023,MRT Purple Line,"49,266",
734,734,13/1/2023,BTS Green Line,"806,632",
735,735,13/1/2023,BTS Gold Line,"5,660",
736,736,14/1/2023,SRT,"63,908",
737,737,14/1/2023,ARL,"50,637",
738,738,14/1/2023,Red Line,"14,326",
739,739,14/1/2023,MRT Blue Line,"285,609",
740,740,14/1/2023,MRT Purple Line,"30,654",
741,741,14/1/2023,BTS Green Line,"615,549",
742,742,14/1/2023,BTS Gold Line,"7,545",
743,743,15/1/2023,SRT,"67,156",
744,744,15/1/2023,ARL,"43,616",
745,745,15/1/2023,Red Line,"12,414",
746,746,15/1/2023,MRT Blue Line,"224,842",
747,747,15/1/2023,MRT Purple Line,"24,346",
748,748,15/1/2023,BTS Green Line,"482,018",
749,749,15/1/2023,BTS Gold Line,"5,408",
750,750,16/1/2023,SRT,"64,076",
751,751,16/1/2023,ARL,"63,046",
752,752,16/1/2023,Red Line,"19,822",
753,753,16/1/2023,MRT Blue Line,"396,551",
754,754,16/1/2023,MRT Purple Line,"47,382",
755,755,16/1/2023,BTS Green Line,"699,485",
756,756,16/1/2023,BTS Gold Line,"4,318",
757,757,17/1/2023,SRT,"60,417",
758,758,17/1/2023,ARL,"64,421",
759,759,17/1/2023,Red Line,"20,064",
760,760,17/1/2023,MRT Blue Line,"384,704",
761,761,17/1/2023,MRT Purple Line,"46,430",
762,762,17/1/2023,BTS Green Line,"766,386",
763,763,17/1/2023,BTS Gold Line,"3,926",
764,764,18/1/2023,SRT,"61,425",
765,765,18/1/2023,ARL,"66,842",
766,766,18/1/2023,Red Line,"19,936",
767,767,18/1/2023,MRT Blue Line,"406,156",
768,768,18/1/2023,MRT Purple Line,"47,777",
769,769,18/1/2023,BTS Green Line,"778,972",
770,770,18/1/2023,BTS Gold Line,"4,421",
771,771,19/1/2023,SRT,"63,718",
772,772,19/1/2023,ARL,"65,140",
773,773,19/1/2023,Red Line,"20,965",
774,774,19/1/2023,MRT Blue Line,"407,221",
775,775,19/1/2023,MRT Purple Line,"47,553",
776,776,19/1/2023,BTS Green Line,"770,713",
777,777,19/1/2023,BTS Gold Line,"4,753",
778,778,20/1/2023,SRT,"75,410",
779,779,20/1/2023,ARL,"69,557",
780,780,20/1/2023,Red Line,"23,416",
781,781,20/1/2023,MRT Blue Line,"425,799",
782,782,20/1/2023,MRT Purple Line,"48,765",
783,783,20/1/2023,BTS Green Line,"808,908",
784,784,20/1/2023,BTS Gold Line,"5,857",
785,785,21/1/2023,SRT,"59,547",
786,786,21/1/2023,ARL,"46,496",
787,787,21/1/2023,Red Line,"13,137",
788,788,21/1/2023,MRT Blue Line,"300,961",
789,789,21/1/2023,MRT Purple Line,"29,742",
790,790,21/1/2023,BTS Green Line,"540,096",
791,791,21/1/2023,BTS Gold Line,"6,714",
792,792,22/1/2023,SRT,"68,519",
793,793,22/1/2023,ARL,"43,254",
794,794,22/1/2023,Red Line,"13,703",
795,795,22/1/2023,MRT Blue Line,"261,632",
796,796,22/1/2023,MRT Purple Line,"23,621",
797,797,22/1/2023,BTS Green Line,"494,538",
798,798,22/1/2023,BTS Gold Line,"8,221",
799,799,23/1/2023,SRT,"68,020",
800,800,23/1/2023,ARL,"64,971",
801,801,23/1/2023,Red Line,"21,614",
802,802,23/1/2023,MRT Blue Line,"390,014",
803,803,23/1/2023,MRT Purple Line,"46,993",
804,804,23/1/2023,BTS Green Line,"761,099",
805,805,23/1/2023,BTS Gold Line,"6,278",
806,806,24/1/2023,SRT,"62,977",
807,807,24/1/2023,ARL,"65,481",
808,808,24/1/2023,Red Line,"21,190",
809,809,24/1/2023,MRT Blue Line,"410,523",
810,810,24/1/2023,MRT Purple Line,"48,304",
811,811,24/1/2023,BTS Green Line,"792,023",
812,812,24/1/2023,BTS Gold Line,"5,914",
813,813,25/1/2023,SRT,"63,366",
814,814,25/1/2023,ARL,"65,543",
815,815,25/1/2023,Red Line,"21,843",
816,816,25/1/2023,MRT Blue Line,"417,370",
817,817,25/1/2023,MRT Purple Line,"47,296",
818,818,25/1/2023,BTS Green Line,"813,557",
819,819,25/1/2023,BTS Gold Line,"5,814",
820,820,26/1/2023,SRT,"62,228",
821,821,26/1/2023,ARL,"67,315",
822,822,26/1/2023,Red Line,"21,610",
823,823,26/1/2023,MRT Blue Line,"424,927",
824,824,26/1/2023,MRT Purple Line,"48,027",
825,825,26/1/2023,BTS Green Line,"808,209",
826,826,26/1/2023,BTS Gold Line,"5,948",
827,827,27/1/2023,SRT,"75,376",
828,828,27/1/2023,ARL,"70,419",
829,829,27/1/2023,Red Line,"24,258",
830,830,27/1/2023,MRT Blue Line,"433,185",
831,831,27/1/2023,MRT Purple Line,"48,611",
832,832,27/1/2023,BTS Green Line,"859,129",
833,833,27/1/2023,BTS Gold Line,"7,442",
834,834,28/1/2023,SRT,"62,460",
835,835,28/1/2023,ARL,"49,721",
836,836,28/1/2023,Red Line,"15,306",
837,837,28/1/2023,MRT Blue Line,"277,090",
838,838,28/1/2023,MRT Purple Line,"27,704",
839,839,28/1/2023,BTS Green Line,"624,943",
840,840,28/1/2023,BTS Gold Line,"9,682",
841,841,29/1/2023,SRT,"64,912",
842,842,29/1/2023,ARL,"44,319",
843,843,29/1/2023,Red Line,"13,582",
844,844,29/1/2023,MRT Blue Line,"223,700",
845,845,29/1/2023,MRT Purple Line,"22,165",
846,846,29/1/2023,BTS Green Line,"508,790",
847,847,29/1/2023,BTS Gold Line,"7,060",
848,848,30/1/2023,SRT,"64,193",
849,849,30/1/2023,ARL,"65,326",
850,850,30/1/2023,Red Line,"21,464",
851,851,30/1/2023,MRT Blue Line,"410,697",
852,852,30/1/2023,MRT Purple Line,"45,008",
853,853,30/1/2023,BTS Green Line,"765,485",
854,854,30/1/2023,BTS Gold Line,"4,664",
855,855,31/1/2023,SRT,"59,763",
856,856,31/1/2023,ARL,"66,569",
857,857,31/1/2023,Red Line,"21,416",
858,858,31/1/2023,MRT Blue Line,"410,475",
859,859,31/1/2023,MRT Purple Line,"47,930",
860,860,31/1/2023,BTS Green Line,"804,492",
861,861,31/1/2023,BTS Gold Line,"4,468",
862,862,1/2/2023,SRT,"59,106",
863,863,1/2/2023,ARL,"66,726",
864,864,1/2/2023,Red Line,"21,529",
865,865,1/2/2023,MRT Blue Line,"417,197",
866,866,1/2/2023,MRT Purple Line,"49,173",
867,867,1/2/2023,BTS Green Line,"799,712",
868,868,1/2/2023,BTS Gold Line,"4,615",
869,869,2/2/2023,SRT,"60,751",
870,870,2/2/2023,ARL,"63,178",
871,871,2/2/2023,Red Line,"21,085",
872,872,2/2/2023,MRT Blue Line,"410,992",
873,873,2/2/2023,MRT Purple Line,"48,016",
874,874,2/2/2023,BTS Green Line,"786,818",
875,875,2/2/2023,BTS Gold Line,"4,889",
876,876,3/2/2023,SRT,"75,361",
877,877,3/2/2023,ARL,"68,952",
878,878,3/2/2023,Red Line,"25,397",
879,879,3/2/2023,MRT Blue Line,"428,565",
880,880,3/2/2023,MRT Purple Line,"49,792",
881,881,3/2/2023,BTS Green Line,"858,610",
882,882,3/2/2023,BTS Gold Line,"6,434",
883,883,4/2/2023,SRT,"62,497",
884,884,4/2/2023,ARL,"51,206",
885,885,4/2/2023,Red Line,"18,493",
886,886,4/2/2023,MRT Blue Line,"297,144",
887,887,4/2/2023,MRT Purple Line,"31,426",
888,888,4/2/2023,BTS Green Line,"693,119",
889,889,4/2/2023,BTS Gold Line,"6,692",
890,890,5/2/2023,SRT,"67,433",
891,891,5/2/2023,ARL,"46,438",
892,892,5/2/2023,Red Line,"17,477",
893,893,5/2/2023,MRT Blue Line,"243,167",
894,894,5/2/2023,MRT Purple Line,"24,938",
895,895,5/2/2023,BTS Green Line,"577,578",
896,896,5/2/2023,BTS Gold Line,"5,736",
897,897,6/2/2023,SRT,"66,526",
898,898,6/2/2023,ARL,"66,331",
899,899,6/2/2023,Red Line,"23,400",
900,900,6/2/2023,MRT Blue Line,"407,055",
901,901,6/2/2023,MRT Purple Line,"47,686",
902,902,6/2/2023,BTS Green Line,"798,089",
903,903,6/2/2023,BTS Gold Line,"4,707",
904,904,7/2/2023,SRT,"58,767",
905,905,7/2/2023,ARL,"66,924",
906,906,7/2/2023,Red Line,"23,845",
907,907,7/2/2023,MRT Blue Line,"413,321",
908,908,7/2/2023,MRT Purple Line,"49,103",
909,909,7/2/2023,BTS Green Line,"832,453",
910,910,7/2/2023,BTS Gold Line,"4,438",
911,911,8/2/2023,SRT,"59,605",
912,912,8/2/2023,ARL,"67,122",
913,913,8/2/2023,Red Line,"24,197",
914,914,8/2/2023,MRT Blue Line,"417,617",
915,915,8/2/2023,MRT Purple Line,"49,048",
916,916,8/2/2023,BTS Green Line,"840,172",
917,917,8/2/2023,BTS Gold Line,"4,621",
918,918,9/2/2023,SRT,"59,469",
919,919,9/2/2023,ARL,"66,022",
920,920,9/2/2023,Red Line,"24,475",
921,921,9/2/2023,MRT Blue Line,"409,757",
922,922,9/2/2023,MRT Purple Line,"48,077",
923,923,9/2/2023,BTS Green Line,"833,891",
924,924,9/2/2023,BTS Gold Line,"4,794",
925,925,10/2/2023,SRT,"73,659",
926,926,10/2/2023,ARL,"72,737",
927,927,10/2/2023,Red Line,"29,129",
928,928,10/2/2023,MRT Blue Line,"429,825",
929,929,10/2/2023,MRT Purple Line,"49,231",
930,930,10/2/2023,BTS Green Line,"916,390",
931,931,10/2/2023,BTS Gold Line,"6,359",
932,932,11/2/2023,SRT,"64,057",
933,933,11/2/2023,ARL,"52,493",
934,934,11/2/2023,Red Line,"21,412",
935,935,11/2/2023,MRT Blue Line,"303,007",
936,936,11/2/2023,MRT Purple Line,"29,591",
937,937,11/2/2023,BTS Green Line,"703,296",
938,938,11/2/2023,BTS Gold Line,"7,513",
939,939,12/2/2023,SRT,"67,033",
940,940,12/2/2023,ARL,"45,898",
941,941,12/2/2023,Red Line,"14,448",
942,942,12/2/2023,MRT Blue Line,"244,452",
943,943,12/2/2023,MRT Purple Line,"23,749",
944,944,12/2/2023,BTS Green Line,"506,511",
945,945,12/2/2023,BTS Gold Line,"6,014",
946,946,13/2/2023,SRT,"66,032",
947,947,13/2/2023,ARL,"66,280",
948,948,13/2/2023,Red Line,"21,980",
949,949,13/2/2023,MRT Blue Line,"397,749",
950,950,13/2/2023,MRT Purple Line,"47,367",
951,951,13/2/2023,BTS Green Line,"777,222",
952,952,13/2/2023,BTS Gold Line,"5,139",
953,953,14/2/2023,SRT,"59,044",
954,954,14/2/2023,ARL,"68,702",
955,955,14/2/2023,Red Line,"22,910",
956,956,14/2/2023,MRT Blue Line,"414,073",
957,957,14/2/2023,MRT Purple Line,"49,044",
958,958,14/2/2023,BTS Green Line,"865,461",
959,959,14/2/2023,BTS Gold Line,"6,367",
960,960,15/2/2023,SRT,"58,020",
961,961,15/2/2023,ARL,"64,310",
962,962,15/2/2023,Red Line,"21,354",
963,963,15/2/2023,MRT Blue Line,"417,379",
964,964,15/2/2023,MRT Purple Line,"48,441",
965,965,15/2/2023,BTS Green Line,"766,237",
966,966,15/2/2023,BTS Gold Line,"5,268",
967,967,16/2/2023,SRT,"58,548",
968,968,16/2/2023,ARL,"67,170",
969,969,16/2/2023,Red Line,"22,047",
970,970,16/2/2023,MRT Blue Line,"401,270",
971,971,16/2/2023,MRT Purple Line,"47,320",
972,972,16/2/2023,BTS Green Line,"787,937",
973,973,16/2/2023,BTS Gold Line,"4,692",
974,974,17/2/2023,SRT,"68,723",
975,975,17/2/2023,ARL,"72,002",
976,976,17/2/2023,Red Line,"24,026",
977,977,17/2/2023,MRT Blue Line,"442,384",
978,978,17/2/2023,MRT Purple Line,"49,800",
979,979,17/2/2023,BTS Green Line,"829,805",
980,980,17/2/2023,BTS Gold Line,"5,514",
981,981,18/2/2023,SRT,"59,486",
982,982,18/2/2023,ARL,"49,937",
983,983,18/2/2023,Red Line,"14,933",
984,984,18/2/2023,MRT Blue Line,"301,463",
985,985,18/2/2023,MRT Purple Line,"31,116",
986,986,18/2/2023,BTS Green Line,"593,273",
987,987,18/2/2023,BTS Gold Line,"6,532",
988,988,19/2/2023,SRT,"63,551",
989,989,19/2/2023,ARL,"43,792",
990,990,19/2/2023,Red Line,"13,658",
991,991,19/2/2023,MRT Blue Line,"245,618",
992,992,19/2/2023,MRT Purple Line,"24,691",
993,993,19/2/2023,BTS Green Line,"490,009",
994,994,19/2/2023,BTS Gold Line,"7,135",
995,995,20/2/2023,SRT,"65,140",
996,996,20/2/2023,ARL,"66,738",
997,997,20/2/2023,Red Line,"22,277",
998,998,20/2/2023,MRT Blue Line,"397,843",
999,999,20/2/2023,MRT Purple Line,"47,061",
1000,1000,20/2/2023,BTS Green Line,"750,304",
1001,1001,20/2/2023,BTS Gold Line,"4,776",
1002,1002,21/2/2023,SRT,"59,198",
1003,1003,21/2/2023,ARL,"65,619",
1004,1004,21/2/2023,Red Line,"21,829",
1005,1005,21/2/2023,MRT Blue Line,"414,071",
1006,1006,21/2/2023,MRT Purple Line,"48,913",
1007,1007,21/2/2023,BTS Green Line,"777,048",
1008,1008,21/2/2023,BTS Gold Line,"4,633",
1009,1009,22/2/2023,SRT,"58,223",
1010,1010,22/2/2023,ARL,"66,125",
1011,1011,22/2/2023,Red Line,"21,558",
1012,1012,22/2/2023,MRT Blue Line,"417,379",
1013,1013,22/2/2023,MRT Purple Line,"48,408",
1014,1014,22/2/2023,BTS Green Line,"783,560",
1015,1015,22/2/2023,BTS Gold Line,"4,529",
1016,1016,23/2/2023,SRT,"60,603",
1017,1017,23/2/2023,ARL,"67,360",
1018,1018,23/2/2023,Red Line,"22,000",
1019,1019,23/2/2023,MRT Blue Line,"412,705",
1020,1020,23/2/2023,MRT Purple Line,"47,826",
1021,1021,23/2/2023,BTS Green Line,"781,192",
1022,1022,23/2/2023,BTS Gold Line,"4,912",
1023,1023,24/2/2023,SRT,"71,946",
1024,1024,24/2/2023,ARL,"68,478",
1025,1025,24/2/2023,Red Line,"23,811",
1026,1026,24/2/2023,MRT Blue Line,"434,558",
1027,1027,24/2/2023,MRT Purple Line,"49,319",
1028,1028,24/2/2023,BTS Green Line,"815,359",
1029,1029,24/2/2023,BTS Gold Line,"5,928",
1030,1030,25/2/2023,SRT,"59,069",
1031,1031,25/2/2023,ARL,"50,033",
1032,1032,25/2/2023,Red Line,"15,065",
1033,1033,25/2/2023,MRT Blue Line,"298,239",
1034,1034,25/2/2023,MRT Purple Line,"30,815",
1035,1035,25/2/2023,BTS Green Line,"565,044",
1036,1036,25/2/2023,BTS Gold Line,"6,455",
1037,1037,26/2/2023,SRT,"62,576",
1038,1038,26/2/2023,ARL,"43,123",
1039,1039,26/2/2023,Red Line,"13,330",
1040,1040,26/2/2023,MRT Blue Line,"240,923",
1041,1041,26/2/2023,MRT Purple Line,"24,451",
1042,1042,26/2/2023,BTS Green Line,"485,267",
1043,1043,26/2/2023,BTS Gold Line,"5,148",
1044,1044,27/2/2023,SRT,"62,256",
1045,1045,27/2/2023,ARL,"66,114",
1046,1046,27/2/2023,Red Line,"21,771",
1047,1047,27/2/2023,MRT Blue Line,"373,470",
1048,1048,27/2/2023,MRT Purple Line,"46,631",
1049,1049,27/2/2023,BTS Green Line,"756,308",
1050,1050,27/2/2023,BTS Gold Line,"4,786",
1051,1051,28/2/2023,SRT,"59,500",
1052,1052,28/2/2023,ARL,"66,018",
1053,1053,28/2/2023,Red Line,"21,778",
1054,1054,28/2/2023,MRT Blue Line,"398,539",
1055,1055,28/2/2023,MRT Purple Line,"45,954",
1056,1056,28/2/2023,BTS Green Line,"791,801",
1057,1057,28/2/2023,BTS Gold Line,"5,466",
1058,1058,1/3/2023,SRT,"58,369",
1059,1059,1/3/2023,ARL,"66,035",
1060,1060,1/3/2023,Red Line,"21,862",
1061,1061,1/3/2023,MRT Blue Line,"407,171",
1062,1062,1/3/2023,MRT Purple Line,"47,744",
1063,1063,1/3/2023,BTS Green Line,"792,258",
1064,1064,1/3/2023,BTS Gold Line,"4,488",
1065,1065,2/3/2023,SRT,"64,386",
1066,1066,2/3/2023,ARL,"65,816",
1067,1067,2/3/2023,Red Line,"21,712",
1068,1068,2/3/2023,MRT Blue Line,"407,368",
1069,1069,2/3/2023,MRT Purple Line,"47,323",
1070,1070,2/3/2023,BTS Green Line,"784,668",
1071,1071,2/3/2023,BTS Gold Line,"6,083",
1072,1072,3/3/2023,SRT,"78,411",
1073,1073,3/3/2023,ARL,"70,084",
1074,1074,3/3/2023,Red Line,"24,709",
1075,1075,3/3/2023,MRT Blue Line,"431,376",
1076,1076,3/3/2023,MRT Purple Line,"48,745",
1077,1077,3/3/2023,BTS Green Line,"828,027",
1078,1078,3/3/2023,BTS Gold Line,"5,336",
1079,1079,4/3/2023,SRT,"68,355",
1080,1080,4/3/2023,ARL,"46,737",
1081,1081,4/3/2023,Red Line,"15,923",
1082,1082,4/3/2023,MRT Blue Line,"302,105",
1083,1083,4/3/2023,MRT Purple Line,"30,707",
1084,1084,4/3/2023,BTS Green Line,"577,058",
1085,1085,4/3/2023,BTS Gold Line,"5,751",
1086,1086,5/3/2023,SRT,"65,396",
1087,1087,5/3/2023,ARL,"43,662",
1088,1088,5/3/2023,Red Line,"14,747",
1089,1089,5/3/2023,MRT Blue Line,"247,233",
1090,1090,5/3/2023,MRT Purple Line,"24,342",
1091,1091,5/3/2023,BTS Green Line,"511,763",
1092,1092,5/3/2023,BTS Gold Line,"5,808",
1093,1093,6/3/2023,SRT,"72,991",
1094,1094,6/3/2023,ARL,"42,089",
1095,1095,6/3/2023,Red Line,"13,559",
1096,1096,6/3/2023,MRT Blue Line,"214,251",
1097,1097,6/3/2023,MRT Purple Line,"22,881",
1098,1098,6/3/2023,BTS Green Line,"443,069",
1099,1099,6/3/2023,BTS Gold Line,"5,030",
1100,1100,7/3/2023,SRT,"64,899",
1101,1101,7/3/2023,ARL,"66,364",
1102,1102,7/3/2023,Red Line,"22,872",
1103,1103,7/3/2023,MRT Blue Line,"388,494",
1104,1104,7/3/2023,MRT Purple Line,"46,022",
1105,1105,7/3/2023,BTS Green Line,"763,804",
1106,1106,7/3/2023,BTS Gold Line,"4,031",
1107,1107,8/3/2023,SRT,"57,907",
1108,1108,8/3/2023,ARL,"65,561",
1109,1109,8/3/2023,Red Line,"22,222",
1110,1110,8/3/2023,MRT Blue Line,"398,617",
1111,1111,8/3/2023,MRT Purple Line,"47,543",
1112,1112,8/3/2023,BTS Green Line,"762,652",
1113,1113,8/3/2023,BTS Gold Line,"4,528",
1114,1114,9/3/2023,SRT,"57,931",
1115,1115,9/3/2023,ARL,"64,816",
1116,1116,9/3/2023,Red Line,"21,910",
1117,1117,9/3/2023,MRT Blue Line,"388,735",
1118,1118,9/3/2023,MRT Purple Line,"45,998",
1119,1119,9/3/2023,BTS Green Line,"764,576",
1120,1120,9/3/2023,BTS Gold Line,"5,164",
1121,1121,10/3/2023,SRT,"69,264",
1122,1122,10/3/2023,ARL,"67,604",
1123,1123,10/3/2023,Red Line,"23,877",
1124,1124,10/3/2023,MRT Blue Line,"398,123",
1125,1125,10/3/2023,MRT Purple Line,"46,539",
1126,1126,10/3/2023,BTS Green Line,"801,266",
1127,1127,10/3/2023,BTS Gold Line,"5,625",
1128,1128,11/3/2023,SRT,"63,227",
1129,1129,11/3/2023,ARL,"55,724",
1130,1130,11/3/2023,Red Line,"15,256",
1131,1131,11/3/2023,MRT Blue Line,"270,653",
1132,1132,11/3/2023,MRT Purple Line,"27,045",
1133,1133,11/3/2023,BTS Green Line,"582,343",
1134,1134,11/3/2023,BTS Gold Line,"5,559",
1135,1135,12/3/2023,SRT,"65,207",
1136,1136,12/3/2023,ARL,"45,509",
1137,1137,12/3/2023,Red Line,"14,038",
1138,1138,12/3/2023,MRT Blue Line,"217,163",
1139,1139,12/3/2023,MRT Purple Line,"21,113",
1140,1140,12/3/2023,BTS Green Line,"497,787",
1141,1141,12/3/2023,BTS Gold Line,"5,208",
1142,1142,13/3/2023,SRT,"62,128",
1143,1143,13/3/2023,ARL,"64,428",
1144,1144,13/3/2023,Red Line,"21,797",
1145,1145,13/3/2023,MRT Blue Line,"384,789",
